0.458 0.827 28.6 2.6 7.6 -1
0.469 0.709 26.2 4.4 1.6 -1
0.445 0.767 20.2 2.2 1.7 -1
0.48 0.691 15.2 3.3 0.6 -1
0.483 0.779 22 5.2 1.2 -1
0.484 0.703 25 5.4 1.2 -1
0.467 0.862 25.4 2.8 1.9 -1
0.54 0.818 35.8 5.7 3 1
0.549 0.664 32.5 10 1.3 1
0.461 0.791 24 4.2 2.2 -1
0.495 0.544 10.7 2.3 0.5 -1
0.444 0.815 27.6 2.6 5.4 -1
0.437 0.719 16.7 2.1 1.6 -1
0.505 0.738 19.6 4.4 0.6 -1
0.406 0.771 13.2 1.4 2 -1
0.472 0.785 20.1 7.2 0.7 -1
0.474 0.879 35.3 7.9 2.5 1
0.417 0.806 20 2.6 0.8 -1
0.383 0.729 28.9 2.8 4.8 -1
0.443 0.65 25.7 4 6.1 -1
0.454 0.679 21.3 4.9 1 -1
0.473 0.704 34.9 6.4 5.2 1
0.486 0.779 29.1 4.7 2.4 -1
0.45 0.776 22.8 2.3 5.5 -1
0.424 0.736 12.5 0.9 3.1 -1
0.488 0.741 27.9 8.4 1.6 1
0.46 0.858 22.9 1.9 3.3 -1
0.466 0.729 35.3 3.9 6.7 1
0.433 0.633 11.7 1.8 0.8 -1
0.426 0.821 31.5 4.1 3.6 -1
0.505 0.605 20.1 6.1 0.5 -1
0.536 0.562 19 4.3 0.6 -1
0.527 0.792 15.3 3.2 0.4 -1
0.467 0.715 27.1 7.2 1.4 1
0.421 0.76 27.4 2.5 4.1 -1
0.473 0.765 31.8 9.4 1.8 1
0.423 0.744 20.9 3.2 0.8 -1
0.425 0.78 41.1 3.7 6.2 1
0.424 0.629 21.5 7.1 0.7 -1
0.457 0.778 28.3 3.3 1.7 -1
0.455 0.719 9.8 1.5 0.3 -1
0.407 0.792 18.6 1.3 2.8 -1
0.444 0.811 34.4 4.4 2.9 -1
0.416 0.807 15.2 2.2 1 -1
0.49 0.904 31.3 3 8.5 1
0.414 0.798 31.9 3.9 3.1 -1
0.484 0.81 34.5 8.7 1.9 1
0.49 0.657 15.9 3.9 0.3 -1
0.537 0.761 31 7.8 1.2 1
0.458 0.771 35.3 6.2 2.4 -1
0.423 0.796 22.5 2.3 3 -1
0.552 0.682 25.7 7.9 1 -1
0.439 0.824 28.7 4.6 1.2 -1
0.436 0.747 27.9 5.7 1.6 -1
0.463 0.753 25.6 6.5 1.4 -1
0.442 0.825 33.9 3.9 2.6 -1
0.564 0.564 21.3 6.5 0.9 -1
0.502 0.81 22.4 2.2 2 -1
0.509 0.709 34.7 8.3 3.4 1
0.5 0.697 16.9 3.8 0.6 -1
0.438 0.689 30.8 4.6 2.2 -1
0.502 0.701 12.5 3.3 0.3 -1
0.408 0.829 25.2 2 4.7 -1
0.462 0.64 19.9 5.1 1.5 -1
0.412 0.699 18.2 3.9 1.2 -1
0.435 0.877 13.6 1.3 1.8 -1
0.452 0.807 16.7 1.4 2.6 -1
0.479 0.607 15.9 4.1 0.5 -1
0.487 0.668 20.3 4.4 1.2 -1
0.497 0.721 27.2 7.5 1.3 -1
0.43 0.8 29.3 2.5 2.7 -1
0.46 0.716 18.2 4 0.9 -1
0.472 0.716 22.9 5 1 -1
0.432 0.784 35.3 2.9 2.6 -1
0.382 0.83 16.3 1.2 2.2 -1
0.433 0.835 37 3.9 2.7 -1
0.465 0.699 27.4 6.9 1.5 -1
0.552 0.557 19.8 6.2 0.4 -1
0.481 0.671 18.1 3.7 0.8 -1
0.464 0.769 30.1 4.2 2.1 -1
0.411 0.647 20.4 3.7 0.9 -1
0.524 0.833 32.5 9.2 1.6 1
0.406 0.784 17.8 2.6 0.9 -1
0.423 0.773 22.4 2.4 2.1 -1
0.452 0.793 35.7 5.9 2.3 -1
0.438 0.877 12.3 1.3 0.3 -1
0.528 0.768 31.4 6.8 2.2 -1
0.468 0.722 30.7 8.3 2 -1
0.49 0.651 21.6 3.4 2.1 -1
0.465 0.843 25.6 6.9 1.3 -1
0.466 0.797 27 2.1 5 -1
0.452 0.865 34 3.4 5.5 1
0.502 0.63 28.5 8.5 0.8 -1
0.594 0.5 21.6 7 0.9 -1
0.509 0.786 12.4 3.1 0.3 -1
0.451 0.774 35.6 3.5 4.8 -1
0.424 0.821 23 2 1.6 -1
0.453 0.74 15.2 4.3 0.7 -1
0.442 0.801 36 4.1 4.2 1
0.499 0.844 18.6 3.4 1.2 -1
0.44 0.806 32.5 2.9 5.6 -1
0.444 0.815 32.7 11.5 2.4 1
0.567 0.578 10.5 2.7 0.1 -1
0.453 0.721 22.3 3.8 1.2 -1
0.406 0.635 15.7 1.9 0.6 -1
0.418 0.817 23.8 2.6 4.8 -1
0.466 0.711 25.8 6.1 1.1 -1
0.437 0.829 22.7 1.7 3.1 -1
0.456 0.693 12.8 2.1 0.5 -1
0.41 0.82 26.9 4.7 1.6 -1
0.478 0.7 15.3 3.5 0.6 -1
