117,Kendall Gill,0,0,1990,5,NOH,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.3,16.9,Allan Bristow,456 days 00:00:00.000000000,3,1,1,0,0,0,0,0
118,Steve Scheffler,0,0,1990,39,NOH,Purdue University,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-2.1,0,Allan Bristow,456 days 00:00:00.000000000,3,1,1,0,0,0,0,0
119,Larry Johnson,1,2,1991,1,NOH,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3,Allan Bristow,456 days 00:00:00.000000000,3,2,1,0,0,0,0,0
121,Tony Battie,0,0,1997,5,DEN,Texas Tech University,14,837,17649,5082,4287,522,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099,-1.6,1.9,Allan Bristow,357 days 00:00:00.000000000,3,3,1,0,0,0,0,0
124,J.R. Smith,0,0,2004,18,NOH,0,12,839,22543,11044,2702,1850,0.423,0.375,0.734,26.9,13.2,3.2,2.2,44.3,0.094,0.5,14.3,Allan Bristow,471 days 00:00:00.000000000,3,4,0,0,0,0,0,0
126,Chris Paul,8,9,2005,4,NOH,Wake Forest University,11,773,27725,14506,3380,7688,0.473,0.365,0.864,35.9,18.8,4.4,9.9,144.1,0.249,7.5,66.4,Allan Bristow,471 days 00:00:00.000000000,3,5,1,0,0,0,0,0
127,Brandon Bass,0,0,2005,33,NOH,Louisiana State University,11,706,15833,6283,3319,587,0.496,0.2,0.829,22.4,8.9,4.7,0.8,40.6,0.123,-1.1,3.5,Allan Bristow,471 days 00:00:00.000000000,3,5,1,0,0,0,0,0
128,Dikembe Mutombo,3,8,1991,4,DEN,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153,2.1,38.2,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,1,1,0,0,0,0,0
129,Mark Macon,0,0,1991,8,DEN,Temple University,6,251,5018,1685,467,428,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001,-3.2,-1.5,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,1,1,0,0,0,0,0
130,LaPhonso Ellis,0,0,1992,5,DEN,University of Notre Dame,11,624,17616,7410,4032,981,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,0.089,-0.4,7.1,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,2,1,0,0,0,0,0
131,Bryant Stith,0,0,1992,13,DEN,University of Virginia,10,586,16417,5946,1983,1178,0.424,0.329,0.841,28,10.1,3.4,2,29.5,0.086,-0.6,5.8,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,2,1,0,0,0,0,0
133,Rodney Rogers,0,0,1993,9,DEN,Wake Forest University,12,866,21873,9468,3881,1722,0.451,0.347,0.69,25.3,10.9,4.5,2,38.8,0.085,0.5,13.8,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,3,1,0,0,0,0,0
135,Jalen Rose,0,0,1994,13,DEN,University of Michigan,13,923,27925,13220,3193,3527,0.443,0.355,0.801,30.3,14.3,3.5,3.8,47.2,0.081,-0.3,11.9,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,4,1,0,0,0,0,0
